departure_time,arrival_time,airfare,airline,duration,num_stops,departure_date,days_to_departure
12:53pm,7:35am,"$10,708",Qantas Airways,27h 42m,(2 stops),03/14/2019,1
12:53pm,7:35am,"$10,708",Qantas Airways,27h 42m,(2 stops),03/14/2019,1
1:00pm,6:05am,"$10,718",Multiple Airlines,26h 5m,(1 stop),03/14/2019,1
6:55pm,6:05am,"$10,858",Multiple Airlines,44h 10m,(1 stop),03/14/2019,1
11:05pm,6:50am,"$16,147",British Airways,40h 45m,(2 stops),03/14/2019,1
7:25pm,6:50am,"$16,147",British Airways,44h 25m,(2 stops),03/14/2019,1
3:15pm,9:35am,$917,Cathay Pacific,27h 20m,(1 stop),03/15/2019,2
1:20am,8:50pm,$917,Cathay Pacific,28h 30m,(1 stop),03/15/2019,2
3:15pm,12:00pm,$917,Cathay Pacific,29h 45m,(1 stop),03/15/2019,2
1:20am,7:25am,$917,Cathay Pacific,39h 5m,(1 stop),03/15/2019,2
1:20am,9:35am,$917,Cathay Pacific,41h 15m,(1 stop),03/15/2019,2
1:20am,12:00pm,$917,Cathay Pacific,43h 40m,(1 stop),03/15/2019,2
3:15pm,8:50pm,$933,Cathay Pacific,38h 35m,(1 stop),03/15/2019,2
6:25pm,7:50am,"$1,058",United,22h 25m,(1 stop),03/15/2019,2
6:30pm,8:05am,"$1,058",United,22h 35m,(1 stop),03/15/2019,2
5:15pm,7:00am,"$1,058",United,22h 45m,(1 stop),03/15/2019,2
4:20pm,7:50am,"$1,058",United,24h 30m,(1 stop),03/15/2019,2
4:20pm,8:05am,"$1,058",United,24h 45m,(1 stop),03/15/2019,2
12:40pm,7:00am,"$1,058",United,27h 20m,(1 stop),03/15/2019,2
12:00pm,7:50am,"$1,058",United,28h 50m,(1 stop),03/15/2019,2
7:59am,7:00am,"$1,058",United,32h 1m,(1 stop),03/15/2019,2
4:10pm,7:50am,"$1,062",United,24h 40m,(2 stops),03/15/2019,2
3:15pm,7:50am,"$1,062",United,25h 35m,(2 stops),03/15/2019,2
