departure_time,arrival_time,airfare,airline,duration,num_stops,departure_date,days_to_departure
6:25pm,7:50am,"$1,064",United,22h 25m,(1 stop),03/23/2019,1
5:15pm,7:00am,"$1,064",United,22h 45m,(1 stop),03/23/2019,1
6:30pm,9:05am,"$1,064",United,23h 35m,(1 stop),03/23/2019,1
4:20pm,7:50am,"$1,064",United,24h 30m,(1 stop),03/23/2019,1
2:05pm,7:00am,"$1,064",United,25h 55m,(1 stop),03/23/2019,1
9:30am,7:00am,"$1,064",United,30h 30m,(1 stop),03/23/2019,1
7:59am,7:00am,"$1,064",United,32h 1m,(1 stop),03/23/2019,1
5:40pm,9:05am,"$1,069",United,24h 25m,(2 stops),03/23/2019,1
2:55pm,7:00am,"$1,069",United,25h 5m,(2 stops),03/23/2019,1
2:50pm,7:00am,"$1,069",United,25h 10m,(2 stops),03/23/2019,1
3:15pm,7:50am,"$1,069",United,26h 0m,(2 stops),03/23/2019,1
4:10pm,9:05am,"$1,069",United,27h 15m,(2 stops),03/23/2019,1
4:10pm,9:05am,"$1,069",United,27h 15m,(2 stops),03/23/2019,1
2:50pm,7:50am,"$1,087",United,28h 21m,(2 stops),03/23/2019,1
1:44pm,7:00am,"$1,089",Multiple Airlines,31h 10m,(1 stop),03/23/2019,1
1:44pm,7:00am,"$1,099",Air New Zealand,33h 36m,(2 stops),03/23/2019,1
1:44pm,7:50am,"$1,115",United,44h 5m,(1 stop),03/23/2019,1
1:44pm,7:50am,"$1,122",United,32h 50m,(1 stop),03/23/2019,1
2:50pm,9:05am,"$1,123",United,34h 5m,(1 stop),03/23/2019,1
2:50pm,9:05am,"$1,128",China Eastern Airlines,30h 10m,(1 stop),03/23/2019,1
12:10pm,7:00am,"$1,140",Multiple Airlines,44h 10m,(1 stop),03/23/2019,1
12:10pm,7:00am,"$1,140",Multiple Airlines,44h 30m,(1 stop),03/23/2019,1
1:44pm,9:05am,"$1,144",Virgin Australia,22h 30m,(1 stop),03/23/2019,1
1:44pm,9:05am,"$1,148",Multiple Airlines,32h 35m,(1 stop),03/23/2019,1
11:07am,7:50am,"$1,149",Delta,27h 10m,(2 stops),03/23/2019,1
8:00am,6:10am,"$1,149",Delta,28h 11m,(2 stops),03/23/2019,1
6:40am,6:05am,"$1,149",Delta,29h 40m,(2 stops),03/23/2019,1
7:59am,8:35am,"$1,149",American Airlines,30h 17m,(2 stops),03/23/2019,1
4:25pm,1:35pm,"$1,155",Multiple Airlines,22h 30m,(1 stop),03/23/2019,1
6:55pm,6:05am,"$1,155",Multiple Airlines,24h 35m,(1 stop),03/23/2019,1
1:35am,10:00pm,$751,Philippine Airlines,29h 25m,(1 stop),03/24/2019,2
4:25pm,1:35pm,$899,China Eastern Airlines,27h 20m,(1 stop),03/24/2019,2
3:15pm,9:35am,$923,Cathay Pacific,28h 30m,(1 stop),03/24/2019,2
1:20am,8:50pm,$923,Cathay Pacific,29h 45m,(1 stop),03/24/2019,2
3:15pm,12:00pm,$923,Cathay Pacific,39h 5m,(1 stop),03/24/2019,2
1:20am,7:25am,$923,Cathay Pacific,41h 15m,(1 stop),03/24/2019,2
1:20am,9:35am,$923,Cathay Pacific,43h 40m,(1 stop),03/24/2019,2
1:20am,12:00pm,$923,Cathay Pacific,38h 35m,(1 stop),03/24/2019,2
3:15pm,8:50pm,$938,Cathay Pacific,30h 10m,(1 stop),03/24/2019,2
1:25pm,9:45am,"$1,022",Multiple Airlines,29h 20m,(1 stop),03/24/2019,2
1:25pm,10:00am,"$1,022",Multiple Airlines,29h 35m,(1 stop),03/24/2019,2
1:25pm,1:35pm,"$1,022",Multiple Airlines,33h 10m,(1 stop),03/24/2019,2
11:35pm,7:40am,"$1,055",Turkish Airlines,41h 5m,(2 stops),03/24/2019,2
5:15pm,7:00am,"$1,065",United,22h 45m,(1 stop),03/24/2019,2
2:05pm,7:00am,"$1,065",United,25h 55m,(1 stop),03/24/2019,2
12:00pm,7:50am,"$1,065",United,28h 50m,(1 stop),03/24/2019,2
9:30am,7:00am,"$1,065",United,30h 30m,(1 stop),03/24/2019,2
7:59am,7:00am,"$1,065",United,32h 1m,(1 stop),03/24/2019,2
4:10pm,8:05am,"$1,070",United,24h 55m,(2 stops),03/24/2019,2
2:55pm,7:00am,"$1,070",United,25h 5m,(2 stops),03/24/2019,2
2:50pm,7:00am,"$1,070",United,25h 10m,(2 stops),03/24/2019,2
2:35pm,7:00am,"$1,070",United,25h 25m,(2 stops),03/24/2019,2
2:50pm,7:50am,"$1,070",United,26h 10m,(2 stops),03/24/2019,2
2:55pm,8:05am,"$1,070",United,26h 15m,(2 stops),03/24/2019,2
2:50pm,8:05am,"$1,070",United,26h 15m,(2 stops),03/24/2019,2
2:50pm,8:05am,"$1,070",United,26h 16m,(2 stops),03/24/2019,2
1:44pm,7:00am,"$1,070",United,27h 6m,(2 stops),03/24/2019,2
1:44pm,7:00am,"$1,070",United,27h 21m,(2 stops),03/24/2019,2
1:44pm,7:50am,"$1,070",United,27h 21m,(2 stops),03/24/2019,2
1:44pm,7:50am,"$1,070",United,44h 5m,(1 stop),03/24/2019,2
1:44pm,8:05am,"$1,070",United,32h 50m,(1 stop),03/24/2019,2
1:44pm,8:05am,"$1,070",United,24h 33m,(2 stops),03/24/2019,2
8:00am,7:50am,"$1,123",United,24h 40m,(2 stops),03/24/2019,2
3:37pm,7:10am,"$1,149",Delta,26h 34m,(2 stops),03/24/2019,2
3:30pm,7:10am,"$1,149",Delta,28h 7m,(2 stops),03/24/2019,2
3:20pm,9:30am,$728,Multiple Airlines,51h 10m,(2 stops),03/25/2019,3
1:35am,10:05am,$884,Cathay Pacific,28h 30m,(1 stop),03/25/2019,3
1:20am,8:50pm,$908,Cathay Pacific,39h 5m,(1 stop),03/25/2019,3
1:20am,7:25am,$908,Cathay Pacific,41h 15m,(1 stop),03/25/2019,3
1:20am,9:35am,$908,Cathay Pacific,43h 40m,(1 stop),03/25/2019,3
1:20am,12:00pm,$908,Philippine Airlines,41h 30m,(1 stop),03/25/2019,3
6:25pm,7:50am,"$1,034",United,22h 25m,(1 stop),03/25/2019,3
6:30pm,8:05am,"$1,034",United,22h 35m,(1 stop),03/25/2019,3
5:15pm,7:00am,"$1,034",United,22h 45m,(1 stop),03/25/2019,3
4:20pm,7:50am,"$1,034",United,24h 30m,(1 stop),03/25/2019,3
2:05pm,7:00am,"$1,034",United,25h 55m,(1 stop),03/25/2019,3
12:40pm,7:00am,"$1,034",United,27h 20m,(1 stop),03/25/2019,3
12:00pm,7:50am,"$1,034",United,28h 50m,(1 stop),03/25/2019,3
9:30am,7:00am,"$1,034",United,30h 30m,(1 stop),03/25/2019,3
7:59am,7:00am,"$1,034",United,32h 1m,(1 stop),03/25/2019,3
4:10pm,7:50am,"$1,039",United,24h 40m,(2 stops),03/25/2019,3
4:10pm,8:05am,"$1,039",United,24h 55m,(2 stops),03/25/2019,3
2:55pm,7:00am,"$1,039",United,25h 5m,(2 stops),03/25/2019,3
2:50pm,7:00am,"$1,039",United,25h 10m,(2 stops),03/25/2019,3
2:35pm,7:00am,"$1,039",United,25h 25m,(2 stops),03/25/2019,3
3:15pm,7:50am,"$1,039",United,25h 35m,(2 stops),03/25/2019,3
3:15pm,7:50am,"$1,039",United,25h 35m,(2 stops),03/25/2019,3
2:50pm,7:50am,"$1,039",United,26h 0m,(2 stops),03/25/2019,3
2:50pm,7:50am,"$1,039",United,26h 10m,(2 stops),03/25/2019,3
2:55pm,8:05am,"$1,039",United,26h 15m,(2 stops),03/25/2019,3
2:50pm,8:05am,"$1,039",United,26h 15m,(2 stops),03/25/2019,3
2:50pm,8:05am,"$1,039",United,26h 16m,(2 stops),03/25/2019,3
1:44pm,7:00am,"$1,039",United,26h 16m,(2 stops),03/25/2019,3
1:44pm,7:00am,"$1,039",United,26h 35m,(2 stops),03/25/2019,3
1:25pm,7:00am,"$1,039",United,27h 6m,(2 stops),03/25/2019,3
4:20pm,7:35am,"$1,045",Multiple Airlines,24h 15m,(1 stop),03/25/2019,3
6:40am,6:05am,"$1,045",Multiple Airlines,32h 25m,(1 stop),03/25/2019,3
6:25pm,7:55am,"$1,099",Virgin Australia,22h 30m,(1 stop),03/25/2019,3
4:20pm,7:55am,"$1,099",Multiple Airlines,32h 35m,(1 stop),03/25/2019,3
8:00am,7:35am,"$1,104",American Airlines,25h 50m,(2 stops),03/25/2019,3
1:20am,8:50pm,$908,Cathay Pacific,28h 30m,(1 stop),03/26/2019,4
1:20am,7:25am,$908,Cathay Pacific,39h 5m,(1 stop),03/26/2019,4
1:20am,9:35am,$908,Cathay Pacific,41h 15m,(1 stop),03/26/2019,4
1:20am,12:00pm,$908,Cathay Pacific,43h 40m,(1 stop),03/26/2019,4
4:25pm,1:35pm,$967,China Eastern Airlines,30h 10m,(1 stop),03/26/2019,4
1:25pm,9:45am,$999,Multiple Airlines,29h 20m,(1 stop),03/26/2019,4
1:25pm,10:00am,$999,Multiple Airlines,29h 35m,(1 stop),03/26/2019,4
1:25pm,1:35pm,$999,Multiple Airlines,33h 10m,(1 stop),03/26/2019,4
6:25pm,7:50am,"$1,034",United,22h 25m,(1 stop),03/26/2019,4
6:30pm,8:05am,"$1,034",United,22h 35m,(1 stop),03/26/2019,4
5:15pm,7:00am,"$1,034",United,22h 45m,(1 stop),03/26/2019,4
4:20pm,7:50am,"$1,034",United,24h 30m,(1 stop),03/26/2019,4
2:05pm,7:00am,"$1,034",United,25h 55m,(1 stop),03/26/2019,4
12:40pm,7:00am,"$1,034",United,27h 20m,(1 stop),03/26/2019,4
12:00pm,7:50am,"$1,034",United,28h 50m,(1 stop),03/26/2019,4
9:30am,7:00am,"$1,034",United,30h 30m,(1 stop),03/26/2019,4
7:59am,7:00am,"$1,034",United,32h 1m,(1 stop),03/26/2019,4
4:10pm,7:00am,"$1,039",United,23h 50m,(2 stops),03/26/2019,4
4:10pm,7:50am,"$1,039",United,24h 40m,(2 stops),03/26/2019,4
4:10pm,8:05am,"$1,039",United,24h 55m,(2 stops),03/26/2019,4
