departure_time,arrival_time,airfare,airline,duration,num_stops,departure_date,days_to_departure
11:30pm,10:00pm,$745,Philippine Airlines,31h 30m,(1 stop),04/01/2019,1
1:00pm,9:25am,$992,Multiple Airlines,29h 25m,(1 stop),04/01/2019,1
1:00pm,10:00am,$992,Multiple Airlines,30h 0m,(1 stop),04/01/2019,1
1:00pm,1:35pm,$992,Multiple Airlines,33h 35m,(1 stop),04/01/2019,1
7:21pm,7:55am,"$1,026",United,21h 34m,(1 stop),04/01/2019,1
6:50pm,7:55am,"$1,026",United,22h 5m,(1 stop),04/01/2019,1
5:25pm,8:00am,"$1,026",United,23h 35m,(1 stop),04/01/2019,1
4:20pm,7:55am,"$1,026",United,24h 35m,(1 stop),04/01/2019,1
2:05pm,8:00am,"$1,026",United,26h 55m,(1 stop),04/01/2019,1
12:40pm,8:00am,"$1,026",United,28h 20m,(1 stop),04/01/2019,1
9:30am,8:00am,"$1,026",United,31h 30m,(1 stop),04/01/2019,1
7:59am,8:00am,"$1,026",United,33h 1m,(1 stop),04/01/2019,1
4:50pm,8:00am,"$1,030",United,24h 10m,(2 stops),04/01/2019,1
3:14pm,7:55am,"$1,030",United,25h 41m,(2 stops),04/01/2019,1
2:55pm,7:55am,"$1,030",United,26h 0m,(2 stops),04/01/2019,1
2:55pm,8:00am,"$1,030",United,26h 5m,(2 stops),04/01/2019,1
2:50pm,7:55am,"$1,030",United,26h 5m,(2 stops),04/01/2019,1
2:50pm,7:55am,"$1,030",United,26h 5m,(2 stops),04/01/2019,1
2:50pm,8:00am,"$1,030",United,26h 10m,(2 stops),04/01/2019,1
2:35pm,8:00am,"$1,030",United,26h 25m,(2 stops),04/01/2019,1
1:51pm,7:55am,"$1,030",United,27h 4m,(2 stops),04/01/2019,1
1:51pm,7:55am,"$1,030",United,27h 4m,(2 stops),04/01/2019,1
1:51pm,7:55am,"$1,030",United,27h 4m,(2 stops),04/01/2019,1
1:51pm,8:00am,"$1,030",United,27h 9m,(2 stops),04/01/2019,1
1:51pm,8:00am,"$1,030",United,27h 9m,(2 stops),04/01/2019,1
1:25pm,8:00am,"$1,030",United,27h 35m,(2 stops),04/01/2019,1
1:25pm,8:00am,"$1,030",United,27h 35m,(2 stops),04/01/2019,1
6:35pm,8:25am,"$1,038",Multiple Airlines,22h 50m,(1 stop),04/01/2019,1
11:50am,8:25am,"$1,038",Multiple Airlines,29h 35m,(1 stop),04/01/2019,1
7:59am,8:40am,"$1,043",Air New Zealand,33h 41m,(2 stops),04/01/2019,1
6:55am,7:55am,"$1,084",United,34h 0m,(1 stop),04/01/2019,1
6:40am,8:25am,"$1,089",Multiple Airlines,34h 45m,(1 stop),04/01/2019,1
3:30pm,7:35am,"$1,095",Delta,25h 5m,(2 stops),04/01/2019,1
